model,time
EMA_lstm1_units_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,53.32
EMA_simplernn1_units_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,35.61
EMA_gru1_units_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,50.0
